Age,Education,Experience,SkillsScore,Certifications,JobRole,CompanyType,Salary
59,High School,16,47.0,0,Manager,Government,142121
49,Master,23,72.0,0,HR,MNC,174443
35,Master,33,92.0,7,Data Scientist,MNC,270842
28,Master,27,46.0,1,Software Engineer,Startup,181712
41,Master,21,77.0,0,Software Engineer,MNC,183521
59,Bachelor,16,60.0,7,Data Analyst,MNC,175412
39,PhD,33,47.0,3,Data Scientist,MNC,236126
43,High School,5,90.0,2,Manager,MNC,157156
31,Master,5,93.0,3,Manager,MNC,185567
31,Master,33,60.0,4,DevOps Engineer,Startup,225922
44,Bachelor,0,95.0,0,Data Scientist,Startup,147264
56,PhD,9,59.0,0,Manager,MNC,184673
44,Master,20,47.0,2,Data Analyst,MNC,164979
23,Bachelor,4,97.0,5,HR,Startup,151162
42,High School,1,,0,Software Engineer,Government,114271
22,High School,21,70.0,1,Data Scientist,Startup,161107
44,Master,1,89.0,6,Software Engineer,Government,172323
50,Master,9,96.0,0,HR,MNC,165379
58,PhD,33,68.0,6,Data Scientist,MNC,265089
22,PhD,15,87.0,3,HR,Startup,176065
41,Master,21,48.0,9,Manager,MNC,219408
53,Bachelor,11,54.0,5,Manager,Government,161152
32,PhD,23,69.0,7,Manager,Government,232262
42,Master,9,65.0,8,HR,Startup,160528
45,PhD,34,49.0,5,HR,Government,208570
47,Master,31,68.0,8,HR,Startup,214797
48,High School,6,93.0,3,Software Engineer,Startup,151860
36,Master,20,55.0,5,HR,Government,161962
35,High School,19,75.0,7,Manager,Government,201474
23,PhD,25,59.0,8,Data Analyst,Government,203147
57,Master,3,84.0,2,HR,Government,143684
27,PhD,21,93.0,1,Data Analyst,Government,195662
41,High School,14,76.0,5,Manager,Government,169983
29,Master,20,61.0,3,HR,Government,165117
59,PhD,14,46.0,0,Software Engineer,MNC,163766
38,High School,21,62.0,7,Software Engineer,Startup,179326
24,PhD,27,80.0,8,Data Analyst,Startup,228372
45,Bachelor,13,79.0,8,DevOps Engineer,Government,192118
34,High School,26,68.0,1,Software Engineer,Startup,161834
29,High School,27,55.0,8,Software Engineer,Government,181984
46,High School,25,77.0,6,Software Engineer,MNC,207378
22,Master,1,67.0,4,Manager,Startup,143352
40,Master,24,87.0,6,Software Engineer,Startup,221979
48,Master,2,77.0,8,Data Scientist,MNC,185238
27,Bachelor,7,70.0,7,HR,MNC,140791
28,Bachelor,32,53.0,5,Software Engineer,MNC,205648
55,High School,34,92.0,3,DevOps Engineer,Startup,222904
34,Bachelor,5,72.0,0,DevOps Engineer,Startup,134687
37,PhD,22,96.0,5,Software Engineer,MNC,228168
56,High School,24,48.0,2,Software Engineer,MNC,171225
24,High School,18,96.0,5,Data Scientist,MNC,196434
22,PhD,4,66.0,5,Software Engineer,MNC,169538
26,High School,10,63.0,3,Software Engineer,MNC,140449
24,Bachelor,11,52.0,1,HR,Government,125268
